Date	Year	Season	Site #	# Adult RAMU	# Subadults RAMU	# Metamorphs RAMU	# Adult + Subadult RAMU	# Subadult + Metamorph RAMU	# Pre-Metamorphs RAMU	# Metamorph + Pre-Metamorph RAMU	# Larvae RAMU	# RAMU egg masses	# Adult PSRE	# Subadult PSRE	# Larvae PSRE	# PSRE egg masses	Observer	air temp C	water temp C	Weather	start time	end time	total time (min)	Fish Present	Comments	
09/06/97	1997	f	11	0	0	0	0	0	0	0	0	0	0	0	50	0	Karen Pope	NA	NA		10:34	10:38	4	No	pond filled up a bit since last survey. No Ramu seen	
09/10/97	1997	f	31	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	8	NA		11:02		5	No		
09/20/97	1997	o	1	8	16	0	24	16	0	0	33	0	0	0	0	0	Joe Fontaine	8	NA		10:28		115	Yes		
09/20/97	1997	o	2	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	6	11.94		10:30		15	No	"no frogs seen, but very cold (6C) , with little ice left on surface- possibly wasn't counting tads"	
09/20/97	1997	o	3	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	8	NA		11:17		11	No		
09/20/97	1997	o	4	2	12	0	14	12	0	0	0	0	0	0	0	0	David Court	6	8		11:00		20	No		
09/20/97	1997	o	5	0	4	0	4	4	0	0	20	0	0	0	0	0	NA	8	NA		11:40		10	No		
09/20/97	1997	o	6	0		0	0	0	0	0	0	0	0	0	100	0	David Court	NA	NA		11:25	11:35	10	No	Didn't give the # of Hyla tads - 100 is just a place holder	
09/20/97	1997	o	7	0	2	0	2	2	0	0	25	0	0	0	0	0	NA	8	NA		12:35		10	No		
09/20/97	1997	o	9	3	0	0	3	0	0	0	0	0	0	0	0	0	David Court	7	NA		12:20		10	No	"partly frozen, 0.1m max d"	
09/20/97	1997	o	10	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	8	NA		12:48		6	No		
09/20/97	1997	o	11	0	0	0	0	0	0	0	0	0	0	0	0	0	Karen Pope	6	NA	"Clear,Windy"	10:55	10:56	1	No	"Completely frozen over 6"" of water underneath.  No frogs found (from lk2 map)"	
